日期,代码,名称,换手率,成交额,流通市值,首次封板时间,最后封板时间,涨跌幅,炸板次数,是否炸板,封板资金,所属行业,涨停原因类别
20250917,002059,云南旅游,13.123574256896973,770027808,5967089572.06,092500,103254,9.963768005371094,1,是,,旅游酒店,
20250917,002617,露笑科技,4.998624801635742,1021872448,20446615167.22,093000,093000,9.969481468200684,0,否,,光伏设备,
20250917,603297,永新光学,1.7532987594604492,210060778,11980888620.0,093000,093000,10.004066467285156,0,否,,光学光电,
20250917,301421,波长光电,27.866830825805664,1133373584,4080703698.2000003,093000,093545,20.005447387695312,1,是,,光学光电,
20250917,002562,兄弟科技,16.6135311126709,842730992,5086083676.75,093124,093603,10.015174865722656,1,是,,化学制品,
20250917,002677,浙江美大,12.948897361755371,531360160,4161294193.82,093139,143803,10.04243278503418,2,是,,家电行业,
20250917,600537,亿晶光电,10.696152687072754,539727248,5160997478.4800005,093439,093439,10.1010103225708,0,否,,光伏设备,
20250917,601619,嘉泽新能,4.477783203125,513932784,11831011810.2,093500,093757,9.954751014709473,1,是,,电力行业,
20250917,002549,凯美特气,12.863637924194336,1586605280,12497089444.300001,093621,105336,9.993906021118164,1,是,,化学制品,
20250917,002796,世嘉科技,14.385205268859863,667444640,4691814081.57,093639,095539,10.0,3,是,,专用设备,
20250917,301013,利和兴,17.897533416748047,790051760,4609926301.68,094230,094639,20.0,2,是,,专用设备,
20250917,601908,京运通,9.129219055175781,1005685472,11300341389.48,094417,094947,10.117647171020508,2,是,,光伏设备,
20250917,002222,福晶科技,4.592042922973633,978066832,21722239529.6,094645,094645,10.004741668701172,0,否,,光学光电,
20250917,603992,松霖科技,1.16193687915802,153343643,13549725044.9,094809,094809,10.0,0,否,,装修建材,
20250917,001267,汇绿生态,7.093050479888916,727179056,10492193305.06,094851,094851,10.024154663085938,0,否,,工程建设,
20250917,002631,德尔未来,3.4207959175109863,140626645,4197997742.08,094933,094933,9.979209899902344,0,否,,装修建材,
20250917,002338,奥普光电,4.554291725158691,592765328,13348800000.0,095309,095309,10.00791072845459,0,否,,仪器仪表,
20250917,605389,长龄液压,1.9872946739196777,139488546,7272556981.2,095737,095737,9.995878219604492,0,否,,工程机械,
20250917,603988,中电电机,4.204321384429932,280462208,6811392000.0,100001,100228,9.988605499267578,1,是,,电机,
20250917,002501,利源股份,4.68972635269165,439467408,9717325624.44,100212,100212,10.0401611328125,0,否,,有色金属,
20250917,603980,吉华集团,16.586545944213867,705973920,4331733504.0,100404,101052,9.965636253356934,6,是,,化学制品,
20250917,603040,新坐标,2.7312171459198,253444124,9558570278.400002,100518,100518,10.0,0,否,,汽车零部,
20250917,920834,三维装备,30.932199478149414,373493632,1255928780.0,100952,101701,29.954517364501953,1,是,,塑料制品,
20250917,603269,海鸥股份,8.831395149230957,327262784,3779121640.32,101522,102055,9.97304630279541,1,是,,通用设备,
20250917,603637,镇海股份,9.196917533874512,281778048,3145879858.86,102239,102239,10.016695022583008,0,否,,工程建设,
20250917,601388,怡球资源,11.739794731140137,814360432,7175985728.16,102836,103909,10.13513469696045,1,是,,有色金属,
20250917,603809,豪能股份,14.060141563415527,2074555440,14995705990.880001,103638,111347,10.031545639038086,3,是,,汽车零部,
20250917,002245,蔚蓝锂芯,15.60417366027832,3197506416,21167196120.070004,104045,104045,9.977452278137207,0,否,,电池,
20250917,301222,浙江恒威,12.972397804260254,348296128,2852711478.0,105033,105033,19.98638153076172,0,否,,电池,
20250917,600207,安彩高科,11.352665901184082,722306016,6546768449.54,105918,141406,10.073260307312012,2,是,,光伏设备,
20250917,600089,特变电工,7.2769598960876465,5770705408,81602600021.65,105939,134709,10.01362419128418,1,是,,电网设备,
20250917,600337,美克家居,6.9447126388549805,230830403,3520645435.65,110216,110240,9.865470886230469,1,是,,装修建材,
20250917,600143,金发科技,13.135307312011719,7241052928,56853267639.74,110455,134028,10.0,2,是,,塑料制品,
20250917,600651,飞乐音响,3.949856758117676,840826176,22337619613.65,111234,111316,10.0,1,是,,光学光电,
20250917,600114,东睦股份,5.159996032714844,1015662096,20648846479.5,111846,111846,10.016420364379883,0,否,,通用设备,
20250917,002423,中粮资本,8.285176277160645,2714198592,33639941395.0,112236,144342,10.022607803344727,6,是,,多元金融,
20250917,603725,天安新材,5.042619705200195,153727533,3173300517.6,130108,130108,10.039761543273926,0,否,,化学制品,
20250917,603219,富佳股份,3.5463626384735107,406833744,12036416000.0,130207,130207,10.005130767822266,0,否,,家电行业,
20250917,603013,亚普股份,1.9713631868362427,267037394,14116983730.56,130656,130656,9.984025001525879,0,否,,汽车零部,
20250917,600658,电子城,9.564369201660156,706892656,7662307558.25,131003,131345,9.951845169067383,2,是,,房地产服,
20250917,001283,豪鹏科技,15.60373592376709,1052427744,7034902493.74,131200,131200,10.0,0,否,,电池,
20250917,000045,深纺织Ａ,5.663502216339111,308788128,5685351801.559999,131315,131315,9.991158485412598,0,否,,光学光电,
20250917,688081,兴图新科,9.977394104003906,273579440,2934579200.0,134112,134112,20.016857147216797,0,否,,通信服务,
20250917,002148,北纬科技,21.091440200805664,1042018208,5131207117.62,134112,134412,10.019268035888672,2,是,,通信服务,
20250917,002448,中原内配,14.728541374206543,754251856,5307010814.85,134130,134130,10.009443283081055,0,否,,汽车零部,
20250917,002514,宝馨科技,21.426841735839844,881989648,4288225203.36,134409,134409,9.943181991577148,0,否,,通用设备,
20250917,688279,峰岹科技,9.418911933898926,1291483840,14719761560.16,135922,145604,20.0,1,是,,半导体,
20250917,920857,泓禧科技,12.090828895568848,244848820,2261658565.12,141610,141610,29.987239837646484,0,否,,电子元件,
20250917,600379,宝光股份,5.366913318634033,221114726,4289318316.36,142209,142209,9.991532325744629,0,否,,电网设备,
20250917,600322,津投城开,16.55802345275879,550466816,3648810000.0,142313,142313,10.0,0,否,,房地产开,
20250917,688135,利扬芯片,14.945880889892578,913478752,6829198371.0,142410,142410,20.014270782470703,0,否,,半导体,
20250917,000737,北方铜业,14.71066951751709,4067445232,29044206940.0,144124,145215,10.028860092163086,1,是,,有色金属,
20250917,605178,时空科技,12.835598945617676,352947424,2840623600.0,145242,145242,10.015349388122559,0,否,,装修装饰,
20250917,605289,罗曼股份,7.501613140106201,465021504,6494833125.0,145442,145442,10.0,0,否,,装修装饰,
20250918,002674,兴业科技,1.0027004480361938,45792513,4566918607.72,092500,092500,10.007046699523926,0,否,,纺织服装,
20250918,605255,天普股份,0.4601730406284332,51581200,11209088000.0,092503,092503,10.0,0,否,,汽车零部,
20250918,600869,远东股份,8.224910736083984,1483766224,18154305462.28,093335,144726,9.946236610412598,26,是,,电网设备,
20250918,002062,宏润建设,6.527622222900391,825670240,12720289400.130001,093424,144736,10.019454956054688,13,是,,工程建设,
20250918,603030,全筑股份,20.847370147705078,897011376,4359049951.2,093438,145508,9.966776847839355,12,是,,装修装饰,
20250918,600157,永泰能源,9.833199501037598,3626473264,37308376687.95,093538,140932,10.322580337524414,2,是,,电力行业,
20250918,603757,大元泵业,15.593297004699707,1577777040,10217193375.43,093708,144517,10.002008438110352,15,是,,通用设备,
20250918,300126,锐奇股份,12.978614807128906,265210567,2121272729.28,093930,093930,20.02383804321289,0,否,,通用设备,
20250918,600400,红豆股份,5.944026947021484,405672816,6942856711.559999,094001,094337,10.181818008422852,1,是,,纺织服装,
20250918,002975,博杰股份,20.388330459594727,1476851504,7386839624.400001,094112,145248,9.993694305419922,8,是,,专用设备,
20250918,002641,公元股份,3.587959051132202,187253837,5261735189.92,094139,094315,9.952607154846191,1,是,,装修建材,
20250918,920030,德众汽车,32.8753662109375,347641136,1111243525.0800002,094533,094712,30.000001907348633,1,是,,汽车服务,
20250918,600487,亨通光电,7.7425642013549805,4151055440,54331924597.5,094611,141250,10.0,5,是,,通信设备,
20250918,605288,凯迪股份,5.7825026512146,486411360,8633062197.76,095010,144813,10.0,5,是,,专用设备,
20250918,002402,和而泰,16.665546417236328,5819163392,35416308620.850006,095124,144430,10.012516021728516,19,是,,消费电子,
20250918,603158,腾龙股份,23.353849411010742,1345291872,5869959699.76,095416,144740,10.02759838104248,2,是,,汽车零部,
20250918,002949,华阳国际,8.805437088012695,209045463,2420985817.92,100439,100439,10.006901741027832,0,否,,工程咨询,
20250918,600527,江南高纤,18.434127807617188,814818528,4502578345.2,101928,144631,10.169490814208984,16,是,,化纤行业,
20250918,688205,德科立,14.347969055175781,2989131952,22223260191.600002,102144,144911,20.0,31,是,,光学光电,
20250918,002272,川润股份,40.62089157104492,2845058400,7150117688.0,102951,144512,9.98810863494873,10,是,,工程机械,
20250918,603686,福龙马,22.88688087463379,1946564224,8732347092.08,105004,144343,9.994767189025879,9,是,,环保行业,
20250918,001389,广合科技,13.595176696777344,1686645456,12669956771.4,105339,144812,10.005217552185059,22,是,,电子元件,
20250918,002905,金逸影视,18.84693145751953,980486400,5395353600.0,105736,145600,9.97150993347168,4,是,,文化传媒,
20250918,300507,苏奥传感,29.264562606811523,2274645568,8090913849.12,111824,150000,20.0,10,是,,汽车零部,
20250918,603359,东珠生态,21.426067352294922,958890768,4648320320.0,112848,143830,10.031679153442383,9,是,,环保行业,
20250918,688629,华丰科技,23.250268936157227,4215660624,19307177421.87,130002,144720,19.997739791870117,19,是,,电子元件,
20250918,600498,烽火通信,12.99699878692627,4283497536,33691140109.12,130124,144751,10.019047737121582,27,是,,通信设备,
20250918,301042,安联锐视,15.764547348022461,545859424,3623793334.84,130745,133200,19.991260528564453,1,是,,计算机设,
20250918,002768,国恩股份,4.016812801361084,356624864,9273974118.75,131221,131221,10.0,0,否,,塑料制品,
20250918,600056,中国医药,9.399842262268066,1658927280,18018985309.9,131417,144450,10.045661926269531,3,是,,医药商业,
20250918,603016,新宏泰,7.249658584594727,309567696,4412204800.0,133344,145047,10.01108169555664,2,是,,电网设备,
20250918,603186,华正新材,13.412689208984375,804346608,6169002452.88,133458,145032,10.002532958984375,1,是,,电子元件,
20250918,002476,宝莫股份,16.610979080200195,598245360,3696041043.0,134609,145500,10.018214225769043,19,是,,化学制品,
20250918,301446,福事特,36.61210250854492,375419888,1079612560.0,134742,145603,19.985876083374023,5,是,,通用设备,
20250918,605089,味知香,5.6631622314453125,222634129,4152420000.0,140934,140934,10.018281936645508,0,否,,食品饮料,
20250918,600706,曲江文旅,21.542909622192383,629718512,3015338295.95,143023,143023,10.009267807006836,0,否,,旅游酒店,
20250918,601869,长飞光纤,6.458892345428467,2703307584,44554996130.100006,145001,145001,10.002006530761719,0,否,,通信设备,
20250919,600718,东软集团,2.009775400161743,270073616,13438000137.6,092502,092502,10.02921199798584,0,否,,互联网服,
20250919,603421,鼎信通讯,1.7367503643035889,84159023,4845775496.73,093000,093000,10.074073791503906,0,否,,通信服务,
20250919,002468,申通快递,2.765089511871338,760670656,27524671362.160004,093000,095109,10.029325485229492,11,是,,物流行业,
20250919,603810,丰山集团,3.568100929260254,94078023,2648893315.88,093035,093035,10.020590782165527,0,否,,农药兽药,
20250919,600159,大龙地产,18.411426544189453,503250160,2805410924.16,093115,142357,10.0977201461792,7,是,,房地产开,
20250919,600509,天富能源,7.042865753173828,832122192,11916025518.69,093317,133702,10.02538013458252,1,是,,电力行业,
20250919,001309,德明利,12.827868461608887,2864618048,22529879236.46,093409,134121,10.00078010559082,10,是,,半导体,
20250919,600562,国睿科技,3.6394922733306885,1375133280,38000849904.0,093509,133857,9.99281120300293,7,是,,通信设备,
20250919,600996,贵广网络,5.436801433563232,601416736,11208730687.460001,093613,100633,10.03671932220459,4,是,,文化传媒,
20250919,002715,登云股份,3.3218696117401123,123265731,3806040000.0,093627,093627,10.011966705322266,0,否,,汽车零部,
20250919,600330,天通股份,16.574546813964844,2573137024,15701620115.68,093651,110833,10.025928497314453,9,是,,非金属材,
20250919,688662,富信科技,10.95991039276123,542800496,5100272000.0,093917,102050,19.991695404052734,4,是,,电子元件,
